,Country,CO2_Percent_Change,Forest_Area_Percent_Change,Predicted_Avg_Temp
271,United Kingdom,0,-0.5,10.4200115
272,United Kingdom,0,-1,9.9175625
273,United Kingdom,-1,1,12.113377
274,United Kingdom,-1,0.5,11.489474
275,United Kingdom,-1,0.25,11.204382
276,United Kingdom,-1,0,10.926508
277,United Kingdom,-1,0.25,11.204382
278,United Kingdom,-1,-0.5,10.423046
279,United Kingdom,-1,-1,9.956806
280,United Kingdom,-2,1,12.045462
281,United Kingdom,-2,0.5,11.451978
282,United Kingdom,-2,0.25,11.180647
283,United Kingdom,-2,0,10.928531
284,United Kingdom,-2,0.25,11.180647
285,United Kingdom,-2,-0.5,10.427711
286,United Kingdom,-2,-1,10.013592
287,United Kingdom,-5,1,11.94416
288,United Kingdom,-5,0.5,11.44334
289,United Kingdom,-5,0.25,11.193802
290,United Kingdom,-5,0,10.98008
291,United Kingdom,-5,0.25,11.193802
292,United Kingdom,-5,-0.5,10.629507
293,United Kingdom,-5,-1,10.401312
294,France,5,1,14.468237
295,France,5,0.5,13.782337
296,France,5,0.25,13.445478
297,France,5,0,13.11862
298,France,5,0.25,13.445478
299,France,5,-0.5,12.468338
300,France,5,-1,11.829597
301,France,2,1,13.994698
302,France,2,0.5,13.373157
303,France,2,0.25,13.067671
304,France,2,0,12.764454
305,France,2,0.25,13.067671
306,France,2,-0.5,12.175564
307,France,2,-1,11.616107
308,France,1,1,13.893284
309,France,1,0.5,13.28499
310,France,1,0.25,12.9896345
311,France,1,0,12.701021
312,France,1,0.25,12.9896345
313,France,1,-0.5,12.147493
314,France,1,-1,11.605879
315,France,0,1,13.810425
316,France,0,0.5,13.237535
317,France,0,0.25,12.955767
318,France,0,0,11.279648148148148
319,France,0,0.25,12.955767
320,France,0,-0.5,12.13758
321,France,0,-1,11.607311
322,France,-1,1,13.775276
323,France,-1,0.5,13.210815
324,France,-1,0.25,12.939741
325,France,-1,0,12.669283
326,France,-1,0.25,12.939741
327,France,-1,-0.5,12.147779
328,France,-1,-1,11.655816
329,France,-2,1,13.74958
330,France,-2,0.5,13.2125
331,France,-2,0.25,12.954456
332,France,-2,0,12.698019
333,France,-2,0.25,12.954456
334,France,-2,-0.5,12.208024
335,France,-2,-1,11.773587
336,France,-5,1,13.867086
337,France,-5,0.5,13.425446
338,France,-5,0.25,13.206192
339,France,-5,0,12.986938
340,France,-5,0.25,13.206192
341,France,-5,-0.5,12.55773
342,France,-5,-1,12.20525
343,Iran,5,1,20.164124
344,Iran,5,0.5,19.947525
345,Iran,5,0.25,19.838448
346,Iran,5,0,19.729366
347,Iran,5,0.25,19.838448
348,Iran,5,-0.5,19.51121
349,Iran,5,-1,19.293465
350,Iran,2,1,19.293106
351,Iran,2,0.5,19.067797
352,Iran,2,0.25,18.957993
353,Iran,2,0,18.84765
354,Iran,2,0.25,18.957993
355,Iran,2,-0.5,18.630096
356,Iran,2,-1,18.411938
357,Iran,1,1,19.013924
358,Iran,1,0.5,18.779434
359,Iran,1,0.25,18.668848
360,Iran,1,0,18.559044
361,Iran,1,0.25,18.668848
362,Iran,1,-0.5,18.33831
363,Iran,1,-1,18.118233
364,Iran,0,1,18.749199
365,Iran,0,0.5,18.49695
366,Iran,0,0.25,18.381357
367,Iran,0,0,16.487133838383837
368,Iran,0,0.25,18.381357
369,Iran,0,-0.5,18.049992
370,Iran,0,-1,17.828552
371,Iran,-1,1,18.484543
372,Iran,-1,0.5,18.223206
373,Iran,-1,0.25,18.098871
374,Iran,-1,0,17.98328
375,Iran,-1,0.25,18.098871
376,Iran,-1,-0.5,17.761147
377,Iran,-1,-1,17.540653
378,Iran,-2,1,18.222496
379,Iran,-2,0.5,17.95848
380,Iran,-2,0.25,17.827847
381,Iran,-2,0,17.700792
382,Iran,-2,0.25,17.827847
383,Iran,-2,-0.5,17.472002
384,Iran,-2,-1,17.252335
385,Iran,-5,1,17.450718
386,Iran,-5,0.5,17.178888
387,Iran,-5,0.25,17.044674
388,Iran,-5,0,16.912714
389,Iran,-5,0.25,17.044674
390,Iran,-5,-0.5,16.648949
391,Iran,-5,-1,16.39568
392,Bahamas,5,1,25.463083333333334
393,Bahamas,5,0.5,25.463083333333334
394,Bahamas,5,0.25,25.463083333333334
395,Bahamas,5,0,25.463083333333334
396,Bahamas,5,0.25,25.463083333333334
397,Bahamas,5,-0.5,25.463083333333334
398,Bahamas,5,-1,25.463083333333334
399,Bahamas,2,1,25.463083333333334
400,Bahamas,2,0.5,25.463083333333334
401,Bahamas,2,0.25,25.463083333333334
402,Bahamas,2,0,25.463083333333334
403,Bahamas,2,0.25,25.463083333333334
404,Bahamas,2,-0.5,25.463083333333334
405,Bahamas,2,-1,25.463083333333334
406,Bahamas,1,1,25.463083333333334
407,Bahamas,1,0.5,25.463083333333334
408,Bahamas,1,0.25,25.463083333333334
409,Bahamas,1,0,25.463083333333334
410,Bahamas,1,0.25,25.463083333333334
411,Bahamas,1,-0.5,25.463083333333334
412,Bahamas,1,-1,25.463083333333334
413,Bahamas,0,1,25.463083333333334
414,Bahamas,0,0.5,25.463083333333334
415,Bahamas,0,0.25,25.463083333333334
416,Bahamas,0,0,25.463083333333334
417,Bahamas,0,0.25,25.463083333333334
418,Bahamas,0,-0.5,25.463083333333334
419,Bahamas,0,-1,25.463083333333334
420,Bahamas,-1,1,25.463083333333334
421,Bahamas,-1,0.5,25.463083333333334
422,Bahamas,-1,0.25,25.463083333333334
423,Bahamas,-1,0,25.463083333333334
424,Bahamas,-1,0.25,25.463083333333334
425,Bahamas,-1,-0.5,25.463083333333334
426,Bahamas,-1,-1,25.463083333333334
427,Bahamas,-2,1,25.463083333333334
428,Bahamas,-2,0.5,25.463083333333334
429,Bahamas,-2,0.25,25.463083333333334
430,Bahamas,-2,0,25.463083333333334
431,Bahamas,-2,0.25,25.463083333333334
432,Bahamas,-2,-0.5,25.463083333333334
433,Bahamas,-2,-1,25.463083333333334
434,Bahamas,-5,1,25.463083333333334
435,Bahamas,-5,0.5,25.463083333333334
436,Bahamas,-5,0.25,25.463083333333334
437,Bahamas,-5,0,25.463083333333334
438,Bahamas,-5,0.25,25.463083333333334
439,Bahamas,-5,-0.5,25.463083333333334
440,Bahamas,-5,-1,25.463083333333334
441,Netherlands,5,1,11.671931
442,Netherlands,5,0.5,10.877695
443,Netherlands,5,0.25,10.513511
444,Netherlands,5,0,10.164851
445,Netherlands,5,0.25,10.513511
446,Netherlands,5,-0.5,9.488857
447,Netherlands,5,-1,8.871468
448,Netherlands,2,1,12.510081
449,Netherlands,2,0.5,11.849661
450,Netherlands,2,0.25,11.530034
451,Netherlands,2,0,11.237387
452,Netherlands,2,0.25,11.530034
453,Netherlands,2,-0.5,10.682808
454,Netherlands,2,-1,10.187447
455,Netherlands,1,1,12.883789
